date,country,country_code,project,access,article,qid,views
2017-02-12,Ukraine,UA,ru.wikipedia,3419486,Instagram,Q209330,526
2017-02-12,Mexico,MX,es.wikipedia,4779374,WhatsApp,Q1049511,557
2017-02-12,Australia,AU,en.wikipedia,7529378,Facebook,Q355,530
2017-02-12,Japan,JP,ja.wikipedia,986542,Facebook,Q355,2312
2017-02-12,Japan,JP,ja.wikipedia,2479550,Instagram,Q209330,4361
2017-02-12,Japan,JP,ja.wikipedia,894212,YouTube,Q866,4292
2017-02-12,Colombia,CO,es.wikipedia,362760,YouTube,Q866,729
2017-02-12,Brazil,BR,en.wikipedia,7529378,Facebook,Q355,977
2017-02-12,United States of America,US,en.wikipedia,3524766,YouTube,Q866,25357
2017-02-12,Canada,CA,en.wikipedia,31591547,Instagram,Q209330,556
2017-02-12,Poland,PL,en.wikipedia,3524766,YouTube,Q866,985
2017-02-12,Colombia,CO,es.wikipedia,1019739,Facebook,Q355,1050
2017-02-12,Indonesia,ID,id.wikipedia,102474,YouTube,Q866,1010
2017-02-12,France,FR,fr.wikipedia,3252248,Facebook,Q355,5589
2017-02-12,Argentina,AR,es.wikipedia,1019739,Facebook,Q355,666
2017-02-12,Indonesia,ID,id.wikipedia,782695,Instagram,Q209330,516
2017-02-12,Mexico,MX,es.wikipedia,362760,YouTube,Q866,2007
2017-02-12,Spain,ES,es.wikipedia,362760,YouTube,Q866,1028
2017-02-12,United Kingdom,GB,en.wikipedia,9988187,Twitter,Q918,656
2017-02-12,United States of America,US,en.wikipedia,32058867,WhatsApp,Q1049511,2167
2017-02-12,Germany,DE,de.wikipedia,2426353,Twitter,Q918,1244
2017-02-12,India,IN,hi.wikipedia,81787,à¤«à¥à¤¸à¤¬à¥à¤,Q355,514
2017-02-12,United Kingdom,GB,en.wikipedia,7529378,Facebook,Q355,1429
2017-02-12,United Kingdom,GB,en.wikipedia,31591547,Instagram,Q209330,851
2017-02-12,United States of America,US,en.wikipedia,31591547,Instagram,Q209330,3081
2017-02-12,India,IN,en.wikipedia,3524766,YouTube,Q866,2086
2017-02-12,Argentina,AR,es.wikipedia,362760,YouTube,Q866,852
2017-02-12,Italy,IT,it.wikipedia,2763155,YouTube,Q866,2738
2017-02-12,France,FR,fr.wikipedia,5969224,Instagram,Q209330,778
2017-02-12,France,FR,fr.wikipedia,776823,YouTube,Q866,2387
2017-02-12,Poland,PL,pl.wikipedia,722829,Facebook,Q355,905
2017-02-12,United States of America,US,en.wikipedia,33548254,Twitch.tv,Q4555537,811
2017-02-12,Australia,AU,en.wikipedia,3524766,YouTube,Q866,675
2017-02-12,United States of America,US,en.wikipedia,9988187,Twitter,Q918,3333
2017-02-12,Japan,JP,ja.wikipedia,1036212,Twitter,Q918,6372
2017-02-12,Germany,DE,de.wikipedia,6787305,WhatsApp,Q1049511,1476
2017-02-12,Brazil,BR,pt.wikipedia,1051474,Facebook,Q355,2289
2017-02-12,France,FR,fr.wikipedia,6575221,WhatsApp,Q1049511,552
2017-02-12,Spain,ES,es.wikipedia,1019739,Facebook,Q355,918
2017-02-12,Canada,CA,en.wikipedia,7529378,Facebook,Q355,833
2017-02-12,Mexico,MX,es.wikipedia,1019739,Facebook,Q355,1729
2017-02-13,Algeria,DZ,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,736
2017-02-13,France,FR,fr.wikipedia,1695137,Twitter,Q918,620
2017-02-13,Germany,DE,de.wikipedia,1397776,YouTube,Q866,2126
2017-02-13,Mexico,MX,es.wikipedia,4578215,Twitter,Q918,601
2017-02-13,Spain,ES,es.wikipedia,4779374,WhatsApp,Q1049511,457
2017-02-13,Hungary,HU,hu.wikipedia,343909,Facebook,Q355,1460
2017-02-13,Germany,DE,en.wikipedia,3524766,YouTube,Q866,517
2017-02-13,United States of America,US,es.wikipedia,1019739,Facebook,Q355,602
2017-02-13,Germany,DE,en.wikipedia,7529378,Facebook,Q355,1447
2017-02-13,South Korea,KR,ko.wikipedia,822425,ì¸ì¤íê·¸ë¨,Q209330,664
2017-02-13,Germany,DE,de.wikipedia,6501279,Instagram,Q209330,1942
2017-02-13,Germany,DE,de.wikipedia,1783100,Facebook,Q355,1834
2017-02-13,Israel,IL,he.wikipedia,219699,YouTube,Q866,528
2017-02-13,Italy,IT,it.wikipedia,2658829,Facebook,Q355,2040
2017-02-13,Nigeria,NG,en.wikipedia,7529378,Facebook,Q355,493
2017-02-13,India,IN,en.wikipedia,9988187,Tweet_(Twitter),Q918,2588
2017-02-13,Indonesia,ID,en.wikipedia,3524766,YouTube,Q866,594
2017-02-13,Brazil,BR,pt.wikipedia,330581,YouTube,Q866,1331
2017-02-13,Argentina,AR,en.wikipedia,7529378,Facebook,Q355,795
2017-02-13,United States of America,US,en.wikipedia,7529378,Facebook,Q355,12555
2017-02-13,India,IN,en.wikipedia,7529378,Facebook,Q355,6378
